Trade Date,Options Class,Underlying,Product Type,Exchange,Volume
2021/12/01,A,A,S,CBOE,44
2021/12/01,AA,AA,S,CBOE,7601
2021/12/01,AAL,AAL,S,CBOE,44543
2021/12/01,AAOI,AAOI,S,CBOE,19
2021/12/01,AAP,AAP,S,CBOE,4
2021/12/01,2AAPL,AAPL,S,CBOE,936
2021/12/01,AAPL,AAPL,S,CBOE,339260
2021/12/01,AAWW,AAWW,S,CBOE,38
2021/12/01,AB,AB,S,CBOE,272
2021/12/01,ABB,ABB,S,CBOE,2
2021/12/01,ABBV,ABBV,S,CBOE,1175
2021/12/01,ABC,ABC,S,CBOE,9
2021/12/01,ABCL,ABCL,S,CBOE,15
2021/12/01,ABEO,ABEO,S,CBOE,1
2021/12/01,ABEV,ABEV,S,CBOE,39
2021/12/01,ABG,ABG,S,CBOE,2
2021/12/01,ABMD,ABMD,S,CBOE,3
2021/12/01,ABNB,ABNB,S,CBOE,6548
2021/12/01,ABR,ABR,S,CBOE,80
2021/12/01,ABT,ABT,S,CBOE,595
2021/12/01,ABUS,ABUS,S,CBOE,14316
2021/12/01,ACAD,ACAD,S,CBOE,2
2021/12/01,ACB,ACB,S,CBOE,1514
2021/12/01,ACB1,ACB,S,CBOE,70
2021/12/01,ACCD,ACCD,S,CBOE,9
2021/12/01,ACCO,ACCO,S,CBOE,6
2021/12/01,ACEL,ACEL,S,CBOE,60
2021/12/01,ACER,ACER,S,CBOE,2
2021/12/01,ACGL,ACGL,S,CBOE,25
2021/12/01,ACH,ACH,S,CBOE,1
2021/12/01,ACHR,ACHR,S,CBOE,1551
2021/12/01,ACI,ACI,S,CBOE,133
2021/12/01,ACLS,ACLS,S,CBOE,248
2021/12/01,ACM,ACM,S,CBOE,239
2021/12/01,ACMR,ACMR,S,CBOE,87
2021/12/01,ACN,ACN,S,CBOE,357
2021/12/01,ACOR,ACOR,S,CBOE,2
2021/12/01,ACRE,ACRE,S,CBOE,3
2021/12/01,ACRS,ACRS,S,CBOE,1
2021/12/01,ACRX,ACRX,S,CBOE,135
2021/12/01,ACVA,ACVA,S,CBOE,37
2021/12/01,ACWX,ACWX,S,CBOE,27
2021/12/01,ADAP,ADAP,S,CBOE,201
2021/12/01,ADBE,ADBE,S,CBOE,1721
2021/12/01,ADC,ADC,S,CBOE,16
2021/12/01,ADCT,ADCT,S,CBOE,1
2021/12/01,ADI,ADI,S,CBOE,706
2021/12/01,ADM,ADM,S,CBOE,182
2021/12/01,ADMA,ADMA,S,CBOE,100
2021/12/01,ADMP,ADMP,S,CBOE,67
2021/12/01,ADNT,ADNT,S,CBOE,32
2021/12/01,ADP,ADP,S,CBOE,74
2021/12/01,ADPT,ADPT,S,CBOE,3
2021/12/01,ADS,ADS,S,CBOE,123
2021/12/01,ADS1,ADS,S,CBOE,98
2021/12/01,ADSK,ADSK,S,CBOE,750
2021/12/01,ADT,ADT,S,CBOE,26
2021/12/01,ADTN,ADTN,S,CBOE,30
2021/12/01,ADTX,ADTX,S,CBOE,46
2021/12/01,ADUS,ADUS,S,CBOE,7
2021/12/01,ADVM,ADVM,S,CBOE,4
2021/12/01,AEE,AEE,S,CBOE,10
2021/12/01,AEG,AEG,S,CBOE,89
2021/12/01,AEHR,AEHR,S,CBOE,423
2021/12/01,AEM,AEM,S,CBOE,847
2021/12/01,AEMD,AEMD,S,CBOE,10
2021/12/01,AEO,AEO,S,CBOE,435
2021/12/01,AEP,AEP,S,CBOE,183
2021/12/01,AER,AER,S,CBOE,52
2021/12/01,AERI,AERI,S,CBOE,39
2021/12/01,AES,AES,S,CBOE,20
2021/12/01,AEVA,AEVA,S,CBOE,540
2021/12/01,AEZS,AEZS,S,CBOE,3
2021/12/01,AFIB,AFIB,S,CBOE,10
2021/12/01,AFL,AFL,S,CBOE,70
2021/12/01,AFMD,AFMD,S,CBOE,39
2021/12/01,AFRM,AFRM,S,CBOE,9016
2021/12/01,AG,AG,S,CBOE,1941
2021/12/01,AGC,AGC,S,CBOE,8716
2021/12/01,AGCB,AGCB,S,CBOE,106
2021/12/01,AGCO,AGCO,S,CBOE,13
2021/12/01,AGEN,AGEN,S,CBOE,237
2021/12/01,AGFY,AGFY,S,CBOE,169
2021/12/01,AGG,AGG,S,CBOE,4
2021/12/01,AGI,AGI,S,CBOE,247
2021/12/01,AGIO,AGIO,S,CBOE,10
2021/12/01,AGLE,AGLE,S,CBOE,9
2021/12/01,AGNC,AGNC,S,CBOE,248
2021/12/01,AGO,AGO,S,CBOE,44
2021/12/01,AGQ,AGQ,S,CBOE,297
2021/12/01,AGRX,AGRX,S,CBOE,278
2021/12/01,AGS,AGS,S,CBOE,1
2021/12/01,AGTC,AGTC,S,CBOE,40
2021/12/01,AHT,AHT,S,CBOE,486
2021/12/01,AHT1,AHT,S,CBOE,2
2021/12/01,AI,AI,S,CBOE,2195
2021/12/01,AIG,AIG,S,CBOE,459
2021/12/01,AINV,AINV,S,CBOE,1
2021/12/01,AIR,AIR,S,CBOE,1
2021/12/01,AIV,AIV,S,CBOE,127
2021/12/01,AJG,AJG,S,CBOE,7
2021/12/01,AJRD,AJRD,S,CBOE,58
2021/12/01,AKAM,AKAM,S,CBOE,25
2021/12/01,AKBA,AKBA,S,CBOE,45
2021/12/01,AKTS,AKTS,S,CBOE,1
2021/12/01,AL,AL,S,CBOE,1
2021/12/01,ALB,ALB,S,CBOE,259
2021/12/01,ALBO,ALBO,S,CBOE,2
2021/12/01,ALDX,ALDX,S,CBOE,3595
2021/12/01,ALG,ALG,S,CBOE,2
2021/12/01,ALGN,ALGN,S,CBOE,76
2021/12/01,ALGS,ALGS,S,CBOE,1
2021/12/01,ALGT,ALGT,S,CBOE,13
2021/12/01,ALHC,ALHC,S,CBOE,3
2021/12/01,ALIT,ALIT,S,CBOE,38
2021/12/01,ALK,ALK,S,CBOE,438
2021/12/01,ALKS,ALKS,S,CBOE,1
2021/12/01,ALL,ALL,S,CBOE,35
2021/12/01,ALLE,ALLE,S,CBOE,5
2021/12/01,ALLO,ALLO,S,CBOE,52
2021/12/01,ALLT,ALLT,S,CBOE,2
2021/12/01,ALLY,ALLY,S,CBOE,625
2021/12/01,ALNY,ALNY,S,CBOE,9
2021/12/01,ALRM,ALRM,S,CBOE,9
2021/12/01,ALT,ALT,S,CBOE,5
2021/12/01,ALTO,ALTO,S,CBOE,305
2021/12/01,ALTU,ALTU,S,CBOE,11
2021/12/01,ALV,ALV,S,CBOE,5
2021/12/01,ALXO,ALXO,S,CBOE,5
2021/12/01,ALZN,ALZN,S,CBOE,284
2021/12/01,AM,AM,S,CBOE,236
2021/12/01,AMAT,AMAT,S,CBOE,6960
2021/12/01,AMBA,AMBA,S,CBOE,2344
2021/12/01,AMBC,AMBC,S,CBOE,22
2021/12/01,AMC,AMC,S,CBOE,66368
2021/12/01,AMCR,AMCR,S,CBOE,14
2021/12/01,AMCX,AMCX,S,CBOE,70
2021/12/01,AMD,AMD,S,CBOE,79820
2021/12/01,AME,AME,S,CBOE,9
2021/12/01,AMED,AMED,S,CBOE,7
2021/12/01,AMEH,AMEH,S,CBOE,11
2021/12/01,AMG,AMG,S,CBOE,3
2021/12/01,AMGN,AMGN,S,CBOE,388
2021/12/01,AMH,AMH,S,CBOE,22
2021/12/01,AMKR,AMKR,S,CBOE,153
2021/12/01,AMLP,AMLP,S,CBOE,1945
2021/12/01,AMN,AMN,S,CBOE,4
2021/12/01,AMP,AMP,S,CBOE,2
2021/12/01,AMPE,AMPE,S,CBOE,161
2021/12/01,AMPL,AMPL,S,CBOE,142
2021/12/01,AMPY,AMPY,S,CBOE,10
2021/12/01,AMRC,AMRC,S,CBOE,21
2021/12/01,AMRN,AMRN,S,CBOE,474
2021/12/01,AMRS,AMRS,S,CBOE,836
2021/12/01,AMRX,AMRX,S,CBOE,105
2021/12/01,AMSC,AMSC,S,CBOE,4
2021/12/01,AMT,AMT,S,CBOE,308
2021/12/01,AMTX,AMTX,S,CBOE,213
2021/12/01,AMWD,AMWD,S,CBOE,54
2021/12/01,AMWL,AMWL,S,CBOE,8
2021/12/01,AMX,AMX,S,CBOE,142
2021/12/01,AMYT,AMYT,S,CBOE,154
2021/12/01,AMZN,AMZN,S,CBOE,42547
2021/12/01,AN,AN,S,CBOE,84
2021/12/01,ANAB,ANAB,S,CBOE,1
2021/12/01,ANAT,ANAT,S,CBOE,37
2021/12/01,ANET,ANET,S,CBOE,44
2021/12/01,ANF,ANF,S,CBOE,126
2021/12/01,ANGI,ANGI,S,CBOE,9
2021/12/01,ANGL,ANGL,S,CBOE,1
2021/12/01,ANTE,ANTE,S,CBOE,70
2021/12/01,ANTM,ANTM,S,CBOE,834
2021/12/01,ANY,ANY,S,CBOE,2366
2021/12/01,AON,AON,S,CBOE,45
2021/12/01,AOS,AOS,S,CBOE,67
2021/12/01,APA,APA,S,CBOE,726
2021/12/01,APAM,APAM,S,CBOE,25
2021/12/01,APD,APD,S,CBOE,34
2021/12/01,APDN,APDN,S,CBOE,114
2021/12/01,APH,APH,S,CBOE,23
2021/12/01,APLE,APLE,S,CBOE,140
2021/12/01,APLS,APLS,S,CBOE,689
2021/12/01,APO,APO,S,CBOE,175
2021/12/01,APP,APP,S,CBOE,117
2021/12/01,APPF,APPF,S,CBOE,4
2021/12/01,APPH,APPH,S,CBOE,213
2021/12/01,APPN,APPN,S,CBOE,71
2021/12/01,APPS,APPS,S,CBOE,822
2021/12/01,APRN,APRN,S,CBOE,533
2021/12/01,APT,APT,S,CBOE,1269
2021/12/01,APTO,APTO,S,CBOE,56
2021/12/01,APTV,APTV,S,CBOE,25
2021/12/01,AQB,AQB,S,CBOE,47
2021/12/01,AQMS,AQMS,S,CBOE,12
2021/12/01,AQST,AQST,S,CBOE,54
2021/12/01,AR,AR,S,CBOE,1771
2021/12/01,ARAY,ARAY,S,CBOE,13
2021/12/01,ARC,ARC,S,CBOE,1
2021/12/01,ARCB,ARCB,S,CBOE,17
2021/12/01,ARCC,ARCC,S,CBOE,24
2021/12/01,ARCT,ARCT,S,CBOE,18
2021/12/01,ARDX,ARDX,S,CBOE,8126
2021/12/01,AREC,AREC,S,CBOE,45
2021/12/01,ARES,ARES,S,CBOE,2
2021/12/01,ARGT,ARGT,S,CBOE,1
2021/12/01,ARI,ARI,S,CBOE,3
2021/12/01,ARKF,ARKF,S,CBOE,751
2021/12/01,ARKG,ARKG,S,CBOE,372
2021/12/01,ARKK,ARKK,S,CBOE,9624
2021/12/01,ARKQ,ARKQ,S,CBOE,9
2021/12/01,ARKW,ARKW,S,CBOE,125
2021/12/01,ARKX,ARKX,S,CBOE,120
2021/12/01,ARLO,ARLO,S,CBOE,261
2021/12/01,ARLP,ARLP,S,CBOE,71
2021/12/01,ARMK,ARMK,S,CBOE,7
2021/12/01,ARNA,ARNA,S,CBOE,45
2021/12/01,ARNC,ARNC,S,CBOE,14
2021/12/01,ARQQ,ARQQ,S,CBOE,831
2021/12/01,ARQT,ARQT,S,CBOE,4
2021/12/01,ARR,ARR,S,CBOE,44
2021/12/01,ARRY,ARRY,S,CBOE,657
2021/12/01,ARVL,ARVL,S,CBOE,293
2021/12/01,ARVN,ARVN,S,CBOE,3
2021/12/01,ARW,ARW,S,CBOE,40
2021/12/01,ARWR,ARWR,S,CBOE,32
2021/12/01,ASAN,ASAN,S,CBOE,6124
2021/12/01,ASC,ASC,S,CBOE,1
2021/12/01,ASH,ASH,S,CBOE,5
2021/12/01,ASHR,ASHR,S,CBOE,857
2021/12/01,ASIX,ASIX,S,CBOE,32
2021/12/01,ASLE,ASLE,S,CBOE,10
2021/12/01,ASLN,ASLN,S,CBOE,1
2021/12/01,ASMB,ASMB,S,CBOE,2
2021/12/01,ASML,ASML,S,CBOE,526
2021/12/01,ASO,ASO,S,CBOE,297
2021/12/01,ASPN,ASPN,S,CBOE,364
2021/12/01,ASPS,ASPS,S,CBOE,5
2021/12/01,ASPU,ASPU,S,CBOE,22
2021/12/01,ASTR,ASTR,S,CBOE,741
2021/12/01,ASTS,ASTS,S,CBOE,215
2021/12/01,ASX,ASX,S,CBOE,50
2021/12/01,ASXC,ASXC,S,CBOE,60
2021/12/01,ATAI,ATAI,S,CBOE,72
2021/12/01,ATCO,ATCO,S,CBOE,81
2021/12/01,ATEC,ATEC,S,CBOE,4
2021/12/01,ATEN,ATEN,S,CBOE,12
2021/12/01,ATER,ATER,S,CBOE,485
2021/12/01,ATH,ATH,S,CBOE,101
2021/12/01,ATHM,ATHM,S,CBOE,31
2021/12/01,ATHX,ATHX,S,CBOE,95
2021/12/01,ATI,ATI,S,CBOE,13
2021/12/01,ATIP,ATIP,S,CBOE,43
2021/12/01,ATKR,ATKR,S,CBOE,32
2021/12/01,ATLC,ATLC,S,CBOE,8
2021/12/01,ATNF,ATNF,S,CBOE,3478
2021/12/01,ATNM,ATNM,S,CBOE,6
2021/12/01,ATNX,ATNX,S,CBOE,18
2021/12/01,ATO,ATO,S,CBOE,6
2021/12/01,ATOM,ATOM,S,CBOE,79
2021/12/01,ATOS,ATOS,S,CBOE,387
2021/12/01,ATRA,ATRA,S,CBOE,23
2021/12/01,ATRO,ATRO,S,CBOE,3
2021/12/01,ATUS,ATUS,S,CBOE,179
2021/12/01,ATVI,ATVI,S,CBOE,3844
2021/12/01,AU,AU,S,CBOE,840
2021/12/01,AUPH,AUPH,S,CBOE,3139
2021/12/01,AUR,AUR,S,CBOE,220
2021/12/01,AUTL,AUTL,S,CBOE,2
2021/12/01,AUY,AUY,S,CBOE,1274
2021/12/01,AVA,AVA,S,CBOE,3
2021/12/01,AVAH,AVAH,S,CBOE,1
2021/12/01,AVAN,AVAN,S,CBOE,20
2021/12/01,AVB,AVB,S,CBOE,115
2021/12/01,AVDL,AVDL,S,CBOE,119
2021/12/01,AVDX,AVDX,S,CBOE,279
2021/12/01,AVEO,AVEO,S,CBOE,31
