Trade Date,Options Class,Underlying,Product Type,Exchange,Volume
2021/12/01,AAPL,AAPL,S,CBOE,339260
2021/12/02,AAPL,AAPL,S,CBOE,273282
2021/12/03,AAPL,AAPL,S,CBOE,177984
2021/12/06,AAPL,AAPL,S,CBOE,157923
2021/12/07,AAPL,AAPL,S,CBOE,242241
2021/12/08,AAPL,AAPL,S,CBOE,290294
2021/12/09,AAPL,AAPL,S,CBOE,227901
2021/12/10,AAPL,AAPL,S,CBOE,236453
2021/12/13,AAPL,AAPL,S,CBOE,318031
2021/12/14,AAPL,AAPL,S,CBOE,168743
2021/12/15,AAPL,AAPL,S,CBOE,186928
2021/12/16,AAPL,AAPL,S,CBOE,238944
2021/12/17,AAPL,AAPL,S,CBOE,203597
2021/12/20,AAPL,AAPL,S,CBOE,144657
